ticket_id,ticket_code,customer_id,serial_no,product_id,center_id,issue_desc,category_id,priority,status,technician_id,received_at,due_date,closed_at,is_warranty
43,BH-000043/2025,49691,SN299833263529,82,5,may bi màn hình đen không lên,1,CAO,DA_DONG,17,2025-01-04 16:30,2025-01-05 16:30,2025-01-05 14:00,false
44,BH-000044/2026,51304,SN220496885154,30,4,may bi sạc rất chậm mất cả đêm,3,THAP,DA_PHAN_CONG,6,2026-04-29 17:00,2026-05-04 17:00,,true
45,BH-000045/2026,6098,SN885083737539,89,4,khách báo máy vào nước màn hình loang ố,5,CAO,DA_DONG,14,2026-08-31 08:45,2026-09-01 08:45,2026-09-01 05:24,false
46,BH-000046/2025,43194,SN344744514548,81,1,kh nói màn hình chớp tắt liên tục bị từ tuần trước,1,CAO,DA_PHAN_CONG,20,2025-08-03 08:45,2025-08-04 08:45,,false
47,BH-000047/2024,12897,SN588202770012,7,4,may bi may bi do nuoc ngot vao khong sac duoc,5,CAO,DA_DONG,15,2024-12-17 13:45,2024-12-18 13:45,2024-12-18 10:54,false
48,BH-000048/2026,23064,SN509688173180,33,3,điểm chết trên màn hình xảy ra sau khi rơi,1,CAO,DA_DONG,22,2026-08-20 10:30,2026-08-21 10:30,2026-08-21 06:09,true
49,BH-000049/2025,387,SN187069844287,44,4,tình trạng: màn hình bị sọc dọc xảy ra sau khi rơi,1,CAO,DA_DONG,2,2025-09-28 08:30,2025-09-29 08:30,2025-09-28 23:25,false
50,BH-000050/2025,51596,SN312922717326,270,1,khách hàng phản ánh cổng sạc bị gãy chân khách chưa từng sửa ở đâu,3,TRUNG_BINH,DA_DONG,1,2025-09-26 12:15,2025-09-29 12:15,2025-09-28 22:57,false
51,BH-000051/2025,34811,SN367173495961,260,4,tình trạng: màn hình bị hở sáng viền dưới đã thử khởi động lại không được,1,CAO,DANG_XU_LY,4,2025-03-13 11:15,2025-03-14 11:15,,true
52,BH-000052/2025,22091,SN953218523967,12,1,may bi màn hình chớp tắt liên tục máy còn bảo hành,1,CAO,DA_DONG,20,2025-03-17 14:30,2025-03-18 14:30,2025-03-18 01:26,false
53,BH-000053/2024,9564,SN156749968872,196,3,dính nước biển máy nóng và tắt đã thử khởi động lại không được,5,CAO,DA_DONG,36,2024-09-02 14:00,2024-09-03 14:00,2024-09-03 04:45,true
54,BH-000054/2024,47495,SN389869241129,24,1,khách hàng phản ánh chân sạc lỏng phải giữ mới sạc được,3,TRUNG_BINH,DA_DONG,33,2024-12-09 09:45,2024-12-12 09:45,2024-12-11 11:51,true
55,BH-000055/2026,11782,SN988109636264,211,2,kh nói màn hình bị sọc dọc khách chưa từng sửa ở đâu,1,CAO,DA_DONG,25,2026-08-23 09:00,2026-08-24 09:00,2026-08-24 06:03,true
56,BH-000056/2025,48252,SN210234215479,17,5,khách hàng phản ánh điểm chết trên màn hình máy còn bảo hành,1,CAO,DA_DONG,17,2025-12-13 12:30,2025-12-14 12:30,2025-12-14 03:01,false
57,BH-000057/2024,26043,SN242884823773,145,3,camera sau bị mờ như có sương xảy ra sau khi rơi,6,TRUNG_BINH,DA_DONG,3,2024-12-23 11:15,2024-12-26 11:15,2024-12-31 01:57,true
58,BH-000058/2026,48490,SN370637672501,32,4,khách hàng phản ánh máy phồng pin cấn màn hình đã thử khởi động lại không được,2,THAP,CHO_LINH_KIEN,21,2026-04-23 15:30,2026-04-28 15:30,,true
59,BH-000059/2025,11478,SN368174521927,298,6,khách hàng phản ánh máy phồng pin cấn màn hình xảy ra sau khi rơi,2,TRUNG_BINH,DA_DONG,10,2025-03-02 16:00,2025-03-05 16:00,2025-03-04 11:01,false
60,BH-000060/2025,2206,SN415913236220,49,1,khach hang phan anh may phong pin can man hinh moi bi 2 ngay nay,2,TRUNG_BINH,DA_DONG,33,2025-07-10 17:00,2025-07-13 17:00,2025-07-12 07:27,true
61,BH-000061/2026,13246,SN489708853227,80,4,may bi điểm chết trên màn hình đã thử khởi động lại không được,1,TRUNG_BINH,DA_DONG,21,2026-08-26 17:30,2026-08-29 17:30,2026-08-28 11:53,false
62,BH-000062/2025,29114,SN634340826667,47,2,kh noi pin sut 20% chi sau vai phut may con bao hanh,2,TRUNG_BINH,DA_DONG,8,2025-03-01 10:15,2025-03-04 10:15,2025-03-08 22:14,false
63,BH-000063/2026,34018,SN928032948926,38,1,kh nói máy tự tắt khi còn 30% pin,2,TRUNG_BINH,DA_DONG,20,2026-05-12 11:00,2026-05-15 11:00,2026-05-13 12:37,true
64,BH-000064/2024,35657,SN801767035106,80,6,tình trạng: báo pin sai phần trăm nhảy loạn mới bị 2 ngày nay,2,TRUNG_BINH,DA_DONG,13,2024-12-18 09:00,2024-12-21 09:00,2024-12-22 05:27,true
65,BH-000065/2026,53241,SN195887200324,213,3,máy có tiếng kêu lạ bên trong mới bị 2 ngày nay,6,TRUNG_BINH,DA_DONG,37,2026-01-13 15:45,2026-01-16 15:45,2026-01-16 01:13,true
66,BH-000066/2025,37445,SN526276205159,299,1,báo pin sai phần trăm nhảy loạn bị từ tuần trước,2,TRUNG_BINH,DA_DONG,20,2025-08-15 10:45,2025-08-18 10:45,2025-08-16 06:26,true
67,BH-000067/2025,19549,SN841228185413,41,6,may bi may bi do nuoc ngot vao khong sac duoc da thu khoi dong lai khong duoc,5,CAO,DA_DONG,10,2025-06-21 11:00,2025-06-22 11:00,2025-06-22 04:50,true
68,BH-000068/2025,52548,SN794375723859,287,5,may bi camera sau bị mờ như có sương mới bị 2 ngày nay,6,TRUNG_BINH,DA_DONG,31,2025-08-17 09:45,2025-08-20 09:45,2025-08-18 12:57,true
69,BH-000069/2025,2695,SN510843458653,293,3,khách hàng phản ánh sạc đầy nhưng dùng 30 phút là sập nguồn khách chưa từng sửa ở đâu,2,TRUNG_BINH,HOAN_TAT,32,2025-09-19 16:30,2025-09-22 16:30,,true
70,BH-000070/2025,38535,SN780540748810,125,3,kh noi loa ngoai re khong nghe ro may con bao hanh,6,TRUNG_BINH,DA_DONG,32,2025-06-27 15:00,2025-06-30 15:00,2025-06-30 03:14,true
71,BH-000071/2025,21080,SN871217451325,126,1,khách báo sạc vào nhưng không nhận cáp mới bị 2 ngày nay,3,TRUNG_BINH,DA_DONG,33,2025-02-28 15:15,2025-03-03 15:15,2025-03-02 11:39,true
72,BH-000072/2026,48235,SN229268669489,291,2,khach hang phan anh man hinh nut sau khi roi khach chua tung sua o dau,1,CAO,DA_DONG,29,2026-06-26 08:30,2026-06-27 08:30,2026-06-26 20:22,true
73,BH-000073/2026,51575,SN416159514466,313,1,TÌNH TRẠNG: CẮM SẠC BÁO LỖI PHỤ KIỆN MÁY CÒN BẢO HÀNH,3,TRUNG_BINH,DA_DONG,33,2026-06-06 14:30,2026-06-09 14:30,2026-06-13 03:49,false
74,BH-000074/2026,43437,SN412191562980,253,3,kh noi pin sut 20% chi sau vai phut xay ra sau khi roi,2,TRUNG_BINH,CHO_LINH_KIEN,22,2026-08-22 17:45,2026-08-25 17:45,,true
75,BH-000075/2025,13415,SN186192270429,190,6,kh nói máy tự khởi động lại nhiều lần trong ngày,4,THAP,DA_DONG,13,2025-03-30 10:45,2025-04-04 10:45,2025-04-01 01:06,true
76,BH-000076/2025,16843,SN805097221389,248,6,kh nói màn hình nứt sau khi rơi khách chưa từng sửa ở đâu,1,THAP,DA_DONG,28,2025-10-16 13:45,2025-10-21 13:45,2025-10-19 10:11,true
77,BH-000077/2025,40072,SN522373187949,136,6,khách hàng phản ánh cảm ứng chỗ được chỗ không xảy ra sau khi rơi,1,CAO,HOAN_TAT,28,2025-12-20 12:30,2025-12-21 12:30,,false
78,BH-000078/2026,50134,SN680949519199,200,3,khach hang phan anh may roi vao nuoc khong len nguon moi bi 2 ngay nay,5,CAO,DA_DONG,36,2026-01-10 09:00,2026-01-11 09:00,2026-01-10 15:50,true
79,BH-000079/2024,14211,SN806949978985,224,1,KHÁCH BÁO MÁY KHÔNG GIỮ ĐƯỢC PIN QUA ĐÊM BỊ TỪ TUẦN TRƯỚC,2,TRUNG_BINH,DA_DONG,33,2024-12-27 13:00,2024-12-30 13:00,2024-12-29 23:36,false
80,BH-000080/2026,25128,SN475582131366,5,1,may bi màn hình bị sọc dọc xảy ra sau khi rơi,1,CAO,DA_DONG,1,2026-01-20 09:30,2026-01-21 09:30,2026-01-21 18:13,true
81,BH-000081/2025,19481,SN780737262416,208,4,TÌNH TRẠNG: MÀN HÌNH XUẤT HIỆN VỆT MỰC LOANG,1,TRUNG_BINH,DA_DONG,14,2025-05-06 17:15,2025-05-09 17:15,2025-05-09 02:38,true
82,BH-000082/2026,42267,SN574235565897,44,3,khách hàng phản ánh pin chai chỉ còn dùng được nửa ngày mới bị 2 ngày nay,2,TRUNG_BINH,DA_DONG,36,2026-01-20 10:00,2026-01-23 10:00,2026-01-22 03:37,false
83,BH-000083/2026,22506,SN382490229961,156,1,khách hàng phản ánh wifi không kết nối được sau cập nhật đã thử khởi động lại không được,4,CAO,DA_DONG,20,2026-03-24 10:30,2026-03-25 10:30,2026-03-25 00:09,true
84,BH-000084/2025,12876,SN247238153243,302,5,tình trạng: cổng sạc bám bụi không tiếp xúc mới bị 2 ngày nay,3,TRUNG_BINH,DANG_XU_LY,17,2025-03-04 13:45,2025-03-07 13:45,,false
85,BH-000085/2025,51228,SN974844778287,310,4,may bi màn hình bị hở sáng viền dưới mới bị 2 ngày nay,1,CAO,DA_DONG,21,2025-11-08 14:45,2025-11-09 14:45,2025-11-09 10:37,true
86,BH-000086/2025,20388,SN936192469479,195,2,khách hàng phản ánh pin chai chỉ còn dùng được nửa ngày xảy ra sau khi rơi,2,TRUNG_BINH,DA_DONG,12,2025-03-06 08:15,2025-03-09 08:15,2025-03-07 13:33,true
87,BH-000087/2025,17140,SN890529595904,99,1,điểm chết trên màn hình xảy ra sau khi rơi,1,CAO,DANG_XU_LY,1,2025-12-02 09:45,2025-12-03 09:45,,true
88,BH-000088/2025,24268,SN904248674653,315,3,may bi máy phồng pin cấn màn hình khách chưa từng sửa ở đâu,2,TRUNG_BINH,DA_DONG,38,2025-06-12 15:45,2025-06-15 15:45,2025-06-15 04:53,false
89,BH-000089/2025,16075,SN622950242156,124,5,may bi báo pin sai phần trăm nhảy loạn máy còn bảo hành,2,TRUNG_BINH,HOAN_TAT,9,2025-12-16 11:30,2025-12-19 11:30,,true
90,BH-000090/2026,27563,SN255866227404,100,2,KHÁCH HÀNG PHẢN ÁNH CẮM SẠC BÁO LỖI PHỤ KIỆN XẢY RA SAU KHI RƠI,3,CAO,DA_DONG,8,2026-07-19 10:30,2026-07-20 10:30,2026-07-20 03:16,true
91,BH-000091/2025,2342,SN780440906072,186,6,khách báo pin sụt 20% chỉ sau vài phút bị từ tuần trước,2,THAP,DA_DONG,23,2025-01-09 08:30,2025-01-14 08:30,2025-01-11 10:22,true
92,BH-000092/2025,37365,SN490525147388,115,6,tình trạng: cổng sạc bị gãy chân xảy ra sau khi rơi,3,TRUNG_BINH,DA_DONG,23,2025-02-23 11:15,2025-02-26 11:15,2025-02-25 06:26,true
93,BH-000093/2026,52582,SN356853569285,247,3,KHÁCH HÀNG PHẢN ÁNH MÀN HÌNH CHỚP TẮT LIÊN TỤC,1,THAP,DA_DONG,37,2026-06-07 09:15,2026-06-12 09:15,2026-06-09 17:16,true
94,BH-000094/2024,23512,SN841985001538,211,2,khách báo điểm chết trên màn hình,1,CAO,DANG_XU_LY,29,2024-10-18 14:30,2024-10-19 14:30,,false
95,BH-000095/2025,48627,SN716695166233,117,2,may bi pin nóng bất thường khi dùng bị từ tuần trước,2,TRUNG_BINH,DA_DONG,5,2025-05-17 11:15,2025-05-20 11:15,2025-05-21 02:35,true
96,BH-000096/2026,38846,SN707802312936,51,2,tình trạng: máy treo logo không vào được hệ điều hành mới bị 2 ngày nay,4,THAP,CHO_LINH_KIEN,30,2026-02-25 14:45,2026-03-02 14:45,,true
97,BH-000097/2024,37833,SN803455514778,46,6,khach bao pin nong bat thuong khi dung khach chua tung sua o dau,2,THAP,DANG_XU_LY,10,2024-10-10 11:30,2024-10-15 11:30,,true
98,BH-000098/2025,38531,SN195677388074,301,4,SẠC RẤT CHẬM MẤT CẢ ĐÊM BỊ TỪ TUẦN TRƯỚC,3,TRUNG_BINH,DA_DONG,2,2025-03-04 08:30,2025-03-07 08:30,2025-03-05 19:31,false
99,BH-000099/2025,28412,SN701493881936,88,2,khách hàng phản ánh cổng sạc bị gãy chân máy còn bảo hành,3,TRUNG_BINH,DA_DONG,12,2025-07-01 17:00,2025-07-04 17:00,2025-07-02 22:15,true
100,BH-000100/2025,15168,SN981335403483,187,4,may bi cổng sạc bám bụi không tiếp xúc xảy ra sau khi rơi,3,TRUNG_BINH,DA_DONG,2,2025-12-18 08:15,2025-12-21 08:15,2025-12-20 22:40,true
